Part Number | Supplier Number | Document Number | DN Aviexp | DN CP | Invoice | Process Number | Qty | Qty Boxes | Vessel Name/Flight | Transport Code | Shipment Date  | Status | Customs | ETA/ATA | Delivery Forecast | Step | Container | CP Delivery | Discharge Place

2121768|500026|2300122630|||2300122630|260523|10|2|MSC MICHELA|10|18/04/2023|VERDE|09/05/2023|08/05/2023|11/05/2023|To Be Scheduled|TXGU7178728||SSZ
2286062|500026|2300122630|||2300122630|260523|242|22|MSC MICHELA|10|18/04/2023|VERDE|09/05/2023|08/05/2023|11/05/2023|To Be Scheduled|TXGU7178728||SSZ
2410084|500026|2300122630|||2300122630|260523|24|4|MSC MICHELA|10|18/04/2023|VERDE|09/05/2023|08/05/2023|11/05/2023|To Be Scheduled|TXGU7178728||SSZ
2422415|500026|2300122630|||2300122630|260523|30|1|MSC MICHELA|10|18/04/2023|VERDE|09/05/2023|08/05/2023|11/05/2023|To Be Scheduled|TXGU7178728||SSZ
2659167|500026|2300122630|||2300122630|260523|128|2|MSC MICHELA|10|18/04/2023|VERDE|09/05/2023|08/05/2023|11/05/2023|To Be Scheduled|TXGU7178728||SSZ
2748852|500026|2300122630|||2300122630|260523|240|3|MSC MICHELA|10|18/04/2023|VERDE|09/05/2023|08/05/2023|11/05/2023|To Be Scheduled|TXGU7178728||SSZ
2248721|500026|2300122626|||2300122626|260523|2|1|MSC MICHELA|10|18/04/2023|VERDE|09/05/2023|08/05/2023|11/05/2023|To Be Scheduled|UACU5141610||SSZ
2286062|500026|2300122626|||2300122626|260523|22|2|MSC MICHELA|10|18/04/2023|VERDE|09/05/2023|08/05/2023|11/05/2023|To Be Scheduled|UACU5141610||SSZ
2405530|500026|2300122626|||2300122626|260523|3|1|MSC MICHELA|10|18/04/2023|VERDE|09/05/2023|08/05/2023|11/05/2023|To Be Scheduled|UACU5141610||SSZ
2474483|500026|2300122626|||2300122626|260523|12|1|MSC MICHELA|10|18/04/2023|VERDE|09/05/2023|08/05/2023|11/05/2023|To Be Scheduled|UACU5141610||SSZ
2474647|500026|2300122626|||2300122626|260523|18|1|MSC MICHELA|10|18/04/2023|VERDE|09/05/2023|08/05/2023|11/05/2023|To Be Scheduled|UACU5141610||SSZ
2498540|500026|2300122626|||2300122626|260523|200|1|MSC MICHELA|10|18/04/2023|VERDE|09/05/2023|08/05/2023|11/05/2023|To Be Scheduled|UACU5141610||SSZ
2524875|500026|2300122626|||2300122626|260523|2|1|MSC MICHELA|10|18/04/2023|VERDE|09/05/2023|08/05/2023|11/05/2023|To Be Scheduled|UACU5141610||SSZ
2547558|500026|2300122626|||2300122626|260523|6|1|MSC MICHELA|10|18/04/2023|VERDE|09/05/2023|08/05/2023|11/05/2023|To Be Scheduled|UACU5141610||SSZ
2552774|500026|2300122626|||2300122626|260523|52|1|MSC MICHELA|10|18/04/2023|VERDE|09/05/2023|08/05/2023|11/05/2023|To Be Scheduled|UACU5141610||SSZ
2641680|500026|2300122626|||2300122626|260523|22|1|MSC MICHELA|10|18/04/2023|VERDE|09/05/2023|08/05/2023|11/05/2023|To Be Scheduled|UACU5141610||SSZ
2694053|500026|2300122626|||2300122626|260523|104|1|MSC MICHELA|10|18/04/2023|VERDE|09/05/2023|08/05/2023|11/05/2023|To Be Scheduled|UACU5141610||SSZ
2802828|500026|2300122626|||2300122626|260523|96|4|MSC MICHELA|10|18/04/2023|VERDE|09/05/2023|08/05/2023|11/05/2023|To Be Scheduled|UACU5141610||SSZ
2810017|500026|2300122626|||2300122626|260523|15|1|MSC MICHELA|10|18/04/2023|VERDE|09/05/2023|08/05/2023|11/05/2023|To Be Scheduled|UACU5141610||SSZ
2821594|500026|2300122626|||2300122626|260523|24|3|MSC MICHELA|10|18/04/2023|VERDE|09/05/2023|08/05/2023|11/05/2023|To Be Scheduled|UACU5141610||SSZ
2829525|500026|2300122626|||2300122626|260523|20|5|MSC MICHELA|10|18/04/2023|VERDE|09/05/2023|08/05/2023|11/05/2023|To Be Scheduled|UACU5141610||SSZ
2830262|500026|2300122626|||2300122626|260523|46|1|MSC MICHELA|10|18/04/2023|VERDE|09/05/2023|08/05/2023|11/05/2023|To Be Scheduled|UACU5141610||SSZ
2830263|500026|2300122626|||2300122626|260523|36|1|MSC MICHELA|10|18/04/2023|VERDE|09/05/2023|08/05/2023|11/05/2023|To Be Scheduled|UACU5141610||SSZ
2853407|500026|2300122626|||2300122626|260523|9|1|MSC MICHELA|10|18/04/2023|VERDE|09/05/2023|08/05/2023|11/05/2023|To Be Scheduled|UACU5141610||SSZ
2875238|500026|2300122626|||2300122626|260523|84|4|MSC MICHELA|10|18/04/2023|VERDE|09/05/2023|08/05/2023|11/05/2023|To Be Scheduled|UACU5141610||SSZ
2875239|500026|2300122626|||2300122626|260523|21|1|MSC MICHELA|10|18/04/2023|VERDE|09/05/2023|08/05/2023|11/05/2023|To Be Scheduled|UACU5141610||SSZ
